name,id,artist
Pitch Perfect Soundtrack,spotify:album:1FM961WpKV92hHzDk7GiU2,Various Artists 
Pitch Perfect Soundtrack,spotify:album:0s8QyM9nNT4jLR5EccUUy8,Various Artists 
Shaun White Snowboarding: Official Soundtrack,spotify:album:0QWjK3wGoCug92yQIeBdxu,Shaun White Snowboarding (Original Soundtrack) 
RENT - Original Motion Picture Soundtrack,spotify:album:7JR7tGOAvqFSpVmDlCzHIJ,RENT Soundtrack 
Rocky IV,spotify:album:3t3BbpFJiGcXl4jI5CRLLA,Original Motion Picture Soundtrack 
Kill Bill Vol. 1 Original Soundtrack,spotify:album:1FpzNqDbugk77xUj0qOrtQ,Kill Bill Vol. 1 Original Soundtrack 
Les Misérables: Highlights From The Motion Picture Soundtrack,spotify:album:5zf4V2kytJQDkr1lETFsQ7,Various Artists 
Les Misérables: The Motion Picture Soundtrack Deluxe,spotify:album:0I6Bl1dVB1hQsSoQF6KuTg,Les Misérables Cast 
Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,spotify:album:0m7dZQ6nLNjDI78hBmpG1L,Various Artists 
Oblivion - Original Motion Picture Soundtrack,spotify:album:6V8ConRfFeocQqrgmGd2MY,M83 
Music For The Motion Picture Into The Wild,spotify:album:3H2Mr0PkWDtgdgVKt6c8c6,Soundtrack 
Les Misérables: Highlights From The Motion Picture Soundtrack,spotify:album:7Ex6GPHnctmzansaCjsoBi,Various Artists 
Body Of War: Songs That Inspired An Iraq War Veteran,spotify:album:6zjzOSeUEaU6vSUCr89u4A,Body Of War Soundtrack 
Les Misérables: The Motion Picture Soundtrack Deluxe,spotify:album:20exLke5P8o4D1Bj4iRcPf,Les Misérables Cast 
Music From The WB Television Series One Tree Hill Volume 2: Friends With Benefit,spotify:album:06QnZm7l0gp3pLq7d3wMFV,One Tree Hill Soundtrack 
Step Up Soundtrack,spotify:album:2rAf1FJKQ3f9TAQncbnYxG,Original Soundtrack 
Music From The WB Television Series One Tree Hill,spotify:album:3XCBGh4tuBd9UXGYUudjz5,One Tree Hill Soundtrack 
Transformers: Revenge Of The Fallen The Album,spotify:album:1fqibtpI0bwD73uQGeEnhn,Transformers: Revenge Of The Fallen Soundtrack 
Think Like A Man - Music From & Inspired By The Film,spotify:album:45EKCe8Ji8HI8mgqQMN4KJ,Think Like A Man (Motion Picture Soundtrack) 
Top Gun Deluxe Edition,spotify:album:1qdpfcCMXTZOichy2EUYwg,Top Gun (Original Soundtrack)
Dirty Dancing,spotify:album:03HVo5MVOWQ4kilTtF1Czg,Dirty Dancing (Motion Picture Soundtrack) 
Walk The Line - Original Motion Picture Soundtrack,spotify:album:6qJz0gv4fwChN5iEgL95Wb,Soundtrack 
If you were a movie, this would be your soundtrack,spotify:album:5AwsetST9VPhNm2AvAEBnN,Sleeping With Sirens 
The Hobbit: An Unexpected Journey Original Motion Picture Soundtrack,spotify:album:3mMzACib09CHoUckDa3AR9,Howard Shore 
Burlesque Original Motion Picture Soundtrack,spotify:album:6NQefW3oxzOkB9yKgrc3w3,Various Artists 
Pitch Perfect Soundtrack,spotify:album:3rthCGaT4b1lUikhp43ACk,Various Artists 
The Sound of Music - Original Soundtrack Recording,spotify:album:583SgyGBxtEzsk9J8zBqiy,Original Soundtrack 
Country Strong (Original Motion Picture Soundtrack),spotify:album:0GqBF7BpSBxXSyRd5ouCrj,Soundtrack 
Les Revenants Soundtrack,spotify:album:7znNGZ8iNfLJ41IxEWYJHp,Mogwai 
Music From The Motion Picture Once,spotify:album:4BUG3kfPOB6DWVKKDY2icE,Once (Motion Picture Soundtrack) 
Twilight Original Motion Picture Soundtrack,spotify:album:34OCKs861Ot5CwDfTYksLe,Twilight Soundtrack 
Lord Of The Rings-The Fellowship Of The Ring,spotify:album:04rz93AqGy9JduzV3K81Dh,Lord Of The Rings Soundtrack 
Magnolia Soundtrack,spotify:album:6jbjx0LGKl11H6UtrgS2nV,Magnolia Soundtrack 
Tarzan Original Soundtrack,spotify:album:6fBzYwBKjuO4hmhcGuklJM,Various Artists 
The Twilight Saga: New Moon Original Motion Picture Soundtrack,spotify:album:2PDlvc7K51qC4Bkali3q0R,The Twilight Saga: New Moon 
Burlesque Original Motion Picture Soundtrack,spotify:album:65jNkB2GjWLUZ223XmuKLT,Various Artists 
Music From The O.C. Mix 1,spotify:album:4ttkSoq4uoawALTcXoeYTs,The O.C. Soundtrack 
Music From The Motion Picture The Departed,spotify:album:0qb9KGaUaaYoqclHvquO65,The Departed Soundtrack 
The Music Of Nashville Original Soundtrack,spotify:album:4sOVPqyUVNoY4wKN9VMgqT,Nashville Cast 
The Dark Knight - Original Motion Picture Soundtrack,spotify:album:63uFfOZpC7jrV7wfuBY2lX,The Dark Knight - Original Motion Picture Soundtrack 
Dreamgirls (Soundtrack),spotify:album:7x0K2KoVdoFy192loas5Sp,Dreamgirls (Motion Picture Soundtrack) 
Mamma Mia! The Movie Soundtrack,spotify:album:5KhzAHMfdnBORoub8UYPDC,Cast Of Mamma Mia The Movie 
Saturday Night Fever [The Original Movie Soundtrack],spotify:album:0taUwU7qjtc9lvwmd7FKac,Bee Gees / Various Artists 
Kill Bill Vol. 2 Original Soundtrack,spotify:album:0yrK3jKRexjtP4CRdYizjs,Kill Bill Vol. 2 Original Soundtrack 
Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,spotify:album:6zeHM5CV0CjcS0K8ouWE4N,Harry Potter Soundtrack 
Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,spotify:album:7DDls7RWrCLvZgTVCJgfcq,Harry Potter Soundtrack 
Music From The Motion Picture The Sitter,spotify:album:0aXH7uskHve2F50SzHyQOe,The Sitter (Motion Picture Soundtrack) 
Chicago - Music From The Miramax Motion Picture,spotify:album:3RH2do6C88Owoka8V51LsP,Original Motion Picture Soundtrack 
Bastion Original Soundtrack,spotify:album:2r4a3PREYIRF2QdbcPnrEO,Darren Korb 
Music From The Motion Picture Once,spotify:album:2hUO9PPUAFBWixrhQDnnvm,Once (Motion Picture Soundtrack) 
The Soundtrack,spotify:album:4DXLSy0XusV4o9ZhDfY0Ow,Bad Boys 2 
Pearl Harbor - Original Motion Picture Soundtrack,spotify:album:6d0LelwtKFd0F0ZfImWWDz,Pearl Harbor - Original Motion Picture Soundtrack 
The Bodyguard - Original Soundtrack Album,spotify:album:7JVJlkNNobS0GSoy4tCS96,Whitney Houston 
The Phantom of the Opera (Original Motion Picture Soundtrack),spotify:album:662G3wcEgxz3BSRpUX4NuT,Andrew Lloyd-Webber 
The Matrix Reloaded: The Album,spotify:album:4iLPd0Abb4S96sB2QEz2bl,The Matrix Reloaded Soundtrack 
Music From The Motion Picture Lock, Stock And Two Smoking Barrels,spotify:album:2fdAkcqAzhesitKe2q91RL,Lock, Stock And Two Smoking Barrels - Original Motion Picture Soundtrack 
